,apple,banana,blackgram,chickpea,coconut,coffee,cotton,grapes,jute,kidneybeans,lentil,maize,mango,mothbeans,mungbean,muskmelon,orange,papaya,pigeonpeas,pomegranate,rice,watermelon
apple,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0
banana,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackgram,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
chickpea,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coconut,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coffee,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cotton,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grapes,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jute,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
kidneybeans,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
lentil,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
maize,0,1,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
mango,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
mothbeans,0,0,2,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0
mungbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1
muskmelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
orange,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0
papaya,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
pigeonpeas,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,17,0,0,0
pomegranate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0
rice,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0
watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
